ID,馬主名,馬主netkeibaID
542,竹下千亜子,983033
543,塚本法生,557033
544,伊藤輔則,139031
545,高橋明裕,751030
546,フジワラ・ファーム,616800
547,石川博,752006
548,加藤志明,258031
549,小島俊治,64031
550,山田有暉朗,777031
551,猪野毛雅人,806002
552,加藤裕司,213033
553,佐々木主浩,6030
554,小林英一ホールディングス,882800
555,増田雄一,168006
556,日高大洋牧場,93803
557,本間茂,694008
558,ＭＯＭＯレーシング,962031
559,ゴールドアップ・カンパニー,348803
560,井之口二三雄,310030
561,芳賀克也,247030
562,柳内光子,38033
563,レッドマジック,86803
564,Ｈ．ＦＡｓｓｏｃｉａｔｉｏｎ,70700
565,廣崎智子,625008
566,ＴＮレーシング,969031
567,丸幸小林牧場,269800
568,吉田勝利,554008
569,トライスターレーシング,83700
570,川島和範,469031
571,宮本昇,177033
572,廣崎利洋,539002
573,タカシマ,395803
574,太田珠々子,444030
575,長谷川祐司,196031
576,馬場祥晃,446007
577,服部新平,142006
578,晴間芳次,677033
579,山田泰司,731033
580,副島義久,297007
581,ビッグ,568800
582,自由が丘サラブレッド倶楽部,302700
583,大野照旺,550033
584,子安裕樹ＲＣ,385803
585,和泉憲一,685030
586,オースミ,712800
587,丸岡啓一,530006
588,須藤英之,560031
589,幅田京子,320030
590,コージーレーシング,182031
591,川端美穂,826031
592,福澤真也,709033
593,Ｃ．フィプケ,32060
594,ホシノレーシング,358803
595,大田恭充,333031
596,今井優,580031
597,飯塚知一,308002
598,岡田甲子男,376031
599,永井宏明,979033
600,高橋貴士,971033
601,森田和豊,819031
602,藤澤眞佐子,477030
603,五影隆則,968006
604,下河邉博,292030
605,中西忍,628007
606,中村忠彦,723033
607,諸江幸祐,63803
608,谷口屯,586006
609,岡村善行,535006
610,高野哲,473030
611,武田浩典,607031
612,古賀禎彦,320803
613,柳橋俊昭,277008
614,前川俊行,590033
615,フロンティア,82803
616,ジェイアール,948800
617,中込哲太郎,698031
618,桑田照夫,800031
619,池上一馬,780006
620,眞保榮稔,837033
621,村田滋,648002
622,長島和彦,130031
623,中村規,91034
624,ＫＡＪＩＭＯＴＯホールディングス,393803
625,矢野秀春,448009
626,薗部博之,960006
627,久米田正明,399030
628,吉岡泰治,265005
629,ディアレスト,13700
630,ＩＨＲ,40700
631,澤田孝之,214033
632,池谷誠一,172002
633,中平和宏,471031
634,千明牧場,75800
635,桑野克己,83031
636,橘倍男,483007
637,杉浦和也,367033
638,ジャコモ,29803
639,中澤利文,375006
640,河内孝夫,321004
641,村木克成,555031
642,田中純一,987033
643,平野武志,689002
644,杉本豊,478030
645,辻高史,191033
646,栗山学,97031
647,風早信昭,784033
648,小松崎孝,248033
649,ＳＴレーシング,874033
650,半沢,541800
651,二口雅一,952033
652,ダイヤモンドファーム,623800
653,兼松昌男,939006
654,阿部榮乃進,51030
655,五影慶則,477006
656,田畑富子,307033
657,新谷正子,974033
658,ＶｉｒｉｄｉａｎＫｅｉｂａＣｌｕｂ,92700
659,高原将浩,936033
660,唐澤絵里加,613031
661,井上隆次,236031
662,フクキタル,46803
663,住谷幾久子,311031
664,村田博司,497031
665,勝本竜二,268031
666,關美和,88034
667,嶋田賢,399009
668,三浦大輔,747030
669,山田信太郎,417030
670,伊藤篤,436031
671,サイプレスホールディングス,15803
672,山下良子,158033
673,中西浩一,730002
674,石橋充教,847031
675,三石川上牧場,691800
676,國分純,243008
677,栗山道郎,781002
678,山邉浩,522030
679,田島政光,504007
680,平沼龍漢,498031
681,宮田守,526030
682,大野商事,373800
683,吉田安惠,221007
684,廣崎双葉,315031
685,増田和啓,345033
686,輝レーシング,807033
687,村島昭男,15006
688,田中義明,429033
689,三宅勝俊,372008
690,松岡雅昭,279009
691,阿部雅英,44008
692,竹田寿,809033
693,望月雅博,243033
694,チョウサン,892800
695,大和屋暁,324030
696,嶋田一成,782033
697,天堀忠博,510033
698,林進,857004
699,栗原正雄,118002
700,長谷川光司,895002
701,しょうじ,355803
702,長谷川進一,693031
703,日下部勝徳,641030
704,小塩利文,479031
705,田畑憲士,215008
706,樋口雅彦,722033
707,小濱忠一,166033
708,吉本雄二,262031
709,ＦＡレーシング,696031
710,佐上峻作,720031
711,新井原博,208006
712,中野辰三,144031
713,コウトミックレーシング,95700
714,山本又一郎,972033
715,谷和光彦,838008
716,多田信尊,845008
717,村木克子,941033
718,齊藤宣彰,920031
719,川島与市,11033
720,豊井義次,730033
721,小林照弘,304033
722,密山根成,611030
723,浅川慶太,705031
724,橋元勇氣,943030
725,田畑勝彦,365030
726,峰哲馬,684006
727,山崎康,631031
728,野村一雄,659031
729,芳賀美知子,277033
730,近藤英子,372006
731,ロイヤルパーク,18700
732,ラッキーフィールド,84800
733,大島昌也,465030
734,迫田三果子,855031
735,礒川正明,684002
736,大西美生子,420033
737,ストレートレーシング,204031
738,ヤナガワ牧場,451800
739,Ｈ．Ｈ．シェイク・ファハド,30060
740,北山敏隆,789002
741,西田順彦,884033
742,山本能成,184033
743,山本英俊,124008
744,エンジェルレーシング,865800
745,光安了,791033
746,三度屋,20803
747,佐藤理,380033
748,小島將之,89002
749,高橋正雄,665033
750,吉田昌久,479033
751,竹中一彰,913002
752,谷口祐人,74031
753,田中俊彰,126031
754,中西憲治,998007
755,浅川昌彦,905007
756,中内田克二,545008
757,竹内敬輔,682031
758,長島利治,504031
759,田中勝麻,253031
760,仲谷善彰,458033
761,鈴木慈雄,638033
762,木村昌三,862009
763,レオ,209800
764,片岡正雄,268006
765,日向均,598002
766,小泉修,842033
767,清水敏,411033
768,伊藤誠吉,438002
769,大倉佑介,687033
770,大橋利幸,985031
771,三島宣彦,672030
772,越村哲男,302031
773,日向英二,31031
774,山藤賢,347803
775,今朝光,606006
776,国田正忠,819008
777,村上卓史,563030
778,黒澤尚,627007
779,重松國建,260007
780,関田光男,44030
781,中川雄斗,686031
782,飛野牧場,464800
783,二木英実,352031
784,桑田牧場,791800
785,大野富生,464008
786,大石秀夫,374009
787,水谷昌晃,616030
788,深見敏男,128008
789,吉永清美,318007
790,橋本浩,426031
791,崎川美枝子,899030
792,佐久間拓士,986033
793,宮田直也,369030
794,清水龍,610031
795,塩澤正樹,915008
796,伊坂重憲,771009
797,林文彦,131803
798,野崎昭夫,18030
799,成富直行,863033
800,海原聖一,471002
801,木村廣太,603033
802,飯田良枝,669007
803,荒木謙次,585030
804,エラドゥーラ,381803
805,張月勝,15060
806,福本次雄,468030
807,カツレーシング,697031
808,重野心平,973031
809,街風隆雄,383033
810,フジイ興産,851800
811,山田和夫,169008
812,藤井一雄,978003
813,水谷美穂,569031
814,山本剛士,610033
815,小関昭次,564033
816,新谷幸義,443033
817,永見貴昭,201033
818,上田忠男,775002
819,節英司,390002
820,サンコウ牧場,738800
821,和田牧場,251800
822,ケーエスＨＤ,334803
823,村田牧場,77800
824,冨士井直哉,338033
825,矢野崇志,621033
826,北幸商事,57803
827,斎藤光政,295007
828,小菅誠,24031
829,住宅データ,349803
830,ユーモード,32700
831,木村永浩,438030
832,寺田秀樹,753030
833,手嶋美季,77031
834,瀬野尾裕久,210033
835,丸山隆雄,34005
836,高柳隆男,534031
837,小関勝紀,513033
838,藤野裕之,856031
839,福盛訓之,520031
840,本田土寿,229031
841,吉野智博,854030
842,カカムーチョレーシング,680031
843,大森悌次,71803
844,中西健,441033
845,佐藤壽男,274008
846,伊藤良兵,31
847,小田吉男,268008
848,久保博文,721008
849,宮本孝一,688006
850,佐藤守宏,648004
851,サトー,786800
852,松山毅,972030
853,吉田ひとみ,346031
854,湊義明,793030
855,布武起会,78700
856,鹽田久義,973006
857,井手慶祐,153033
858,安田嘉太郎,2031
859,吉井盛治,652031
860,伊藤巖,321006
861,鈴木剛史,955033
862,岩崎充利,969033
863,加藤興一,975002
864,高田博,550008
865,鈴木昌樹,956031
866,大友靖岐,448033
867,横田秀明,708031
868,北駿競走馬組合,57700
869,ケンレーシング組合,26700
870,菊地剛,857030
871,中山栄一,763033
872,湯澤寛,171002
873,田記正規,732033
874,茂木国久,716031
875,小松達昌,329803
876,ニューマレコード,32803
877,黒川暁子,319031
878,金山敏也,693033
879,土井孝夫,862006
880,伊藤裕章,278031
881,武田敏也,864033
882,古賀慎一,535033
883,ドリームジャパンホースレーシング,68700
884,木村直樹,338030
885,大迫基弘,461030
886,原司郎,43030
887,村山正道,954033
888,ＴＧレーシング,276033
889,犬飼優,50034
890,瓜生和彦,663031
891,会田浩史,755033
892,芳賀滿男,101031
893,上田秀二,212031
894,堀田浩司,164031
895,小野建,612030
896,竹原孝昭,680030
897,泉新キャピタル,862800
898,泉一郎,897030
899,徳増栄治,469033
900,福田義明,420031
901,石田勇,724031
902,阿部善武,571033
903,橋詰弘一,521033
904,片山博志,563002
905,和田恭子,834031
906,香川憲次,700006
907,西村豊,787002
908,田島榮二郎,713005
909,ビリオンスター,857800
